Date,AAPL,AMZN,CAT,CVX,DIS,GOOGL,GS,HD,JPM,KO,META,MSFT,NEE,NFLX,NVDA,PFE,PLD,UNH,UNP,XOM
2020-06-01,78.12644958496094,123.552001953125,108.4071044921875,73.70110321044922,116.82247924804688,71.2520751953125,176.3828887939453,216.71090698242188,85.38671875,39.70985412597656,230.48912048339844,174.8793182373047,56.07518005371094,425.9200134277344,8.772820472717285,26.295724868774414,80.65253448486328,280.4965515136719,150.96951293945312,36.536285400390625
2020-06-02,78.48812866210938,123.62049865722656,110.94409942626953,75.21023559570312,116.80281829833984,71.62152862548828,180.09703063964844,221.46067810058594,85.6724853515625,39.63379669189453,231.2941436767578,176.8688507080078,56.283546447753906,427.30999755859375,8.791746139526367,26.814807891845703,82.1674575805664,280.844970703125,152.25205993652344,37.34944152832031
2020-06-03,78.92019653320312,123.91999816894531,114.33574676513672,77.18798828125,120.17656707763672,71.46957397460938,185.7697296142578,221.27557373046875,90.29688262939453,40.478858947753906,228.74981689453125,177.29933166503906,56.93717575073242,421.9700012207031,8.736209869384766,26.814807891845703,83.76844024658203,279.9648132324219,158.5847930908203,38.87308883666992
2020-06-04,78.24053955078125,123.02999877929688,116.01805877685547,76.4731216430664,121.66181182861328,70.2306137084961,189.51919555664062,219.46832275390625,92.17610168457031,40.49576950073242,224.9035186767578,174.9653778076172,55.25043869018555,414.3299865722656,8.737207412719727,26.703575134277344,80.35126495361328,273.29913330078125,157.14187622070312,38.76256561279297
2020-06-05,80.46890258789062,124.1500015258789,121.55989074707031,80.07122802734375,122.77328491210938,71.50779724121094,192.25408935546875,224.7136993408203,96.32416534423828,41.48450469970703,229.35609436035156,179.05926513671875,55.79660415649414,419.6000061035156,8.890192985534668,26.688745498657227,82.38264465332031,285.92437744140625,164.62356567382812,41.904624938964844
2020-06-08,80.94466400146484,126.2030029296875,123.8989486694336,82.00131225585938,125.19293212890625,71.90605163574219,194.80369567871094,226.3622283935547,98.24667358398438,42.12675094604492,229.9822235107422,180.1688232421875,57.13460159301758,419.489990234375,8.775577545166016,27.133682250976562,84.15579223632812,283.75146484375,161.80015563964844,43.21512985229492
2020-06-09,83.50074005126953,130.04299926757812,120.72323608398438,80.64309692382812,121.85853576660156,72.10667419433594,192.4128875732422,226.35345458984375,95.72664642333984,41.4084358215332,237.2076873779297,181.54620361328125,56.737586975097656,434.04998779296875,9.015772819519043,26.85188865661621,83.77706146240234,283.50384521484375,158.68276977539062,42.25198745727539
2020-06-10,85.64900207519531,132.37249755859375,119.14885711669922,77.50570678710938,120.17656707763672,72.73335266113281,188.37232971191406,224.31695556640625,91.84700775146484,41.08731460571289,235.27955627441406,188.28005981445312,56.32522964477539,434.4800109863281,9.335451126098633,26.636837005615234,82.98518371582031,280.3315124511719,156.251220703125,39.986244201660156
2020-06-11,81.5369644165039,127.89800262451172,109.35173034667969,70.98466491699219,110.79300689697266,69.61486053466797,171.26596069335938,211.11099243164062,84.18299102783203,38.484500885009766,223.05491638183594,178.1697235107422,54.469573974609375,425.55999755859375,8.766857147216797,24.69394874572754,78.25102996826172,260.1421203613281,145.43838500976562,36.457340240478516
2020-06-12,82.24091339111328,127.2509994506836,110.79114532470703,73.38339233398438,113.59626770019531,70.16209411621094,178.0149688720703,213.7380828857422,86.48653411865234,38.885292053222656,227.17950439453125,179.5757598876953,54.158111572265625,418.07000732421875,8.902650833129883,25.02765464782715,81.30670928955078,261.4441223144531,148.012451171875,37.23891067504883
2020-06-15,83.25800323486328,128.63400268554688,111.2049789428711,72.4620361328125,115.16019439697266,70.5504150390625,182.01144409179688,212.7771759033203,87.68159484863281,39.48221969604492,231.0754852294922,180.72364807128906,54.52222442626953,425.5,9.143095970153809,24.73844337463379,81.7483901977539,262.4801025390625,149.57113647460938,37.21522521972656
2020-06-16,85.46452331542969,130.7635040283203,117.05266571044922,74.68599700927734,116.4979019165039,71.8281021118164,184.9051513671875,220.34991455078125,88.38304138183594,39.88301467895508,234.20616149902344,185.1522674560547,54.434486389160156,436.1300048828125,9.038196563720703,24.76810646057129,83.9222412109375,268.6415100097656,152.27882385253906,38.052059173583984
2020-06-17,85.3455810546875,132.0489959716797,115.36133575439453,72.70828247070312,115.72085571289062,72.1295166015625,181.9056396484375,221.1433563232422,86.14878845214844,39.72098922729492,234.08692932128906,185.7931365966797,54.61653518676758,447.7699890136719,9.2051362991333,24.88675880432129,83.7490234375,268.27471923828125,152.45692443847656,36.81259536743164
2020-06-18,85.37957000732422,132.69900512695312,114.78556060791016,73.0259780883789,116.42904663085938,71.2148208618164,179.83236694335938,219.69754028320312,85.68115234375,40.07061767578125,234.49441528320312,187.7826690673828,54.6011848449707,449.8699951171875,9.187199592590332,24.649456024169922,82.3546371459961,267.2479248046875,152.17193603515625,37.04153823852539
2020-06-19,84.89167022705078,133.75050354003906,114.66863250732422,71.98545837402344,112.47496032714844,70.74407196044922,177.8826446533203,217.4407196044922,84.70257568359375,39.24345016479492,237.3269500732422,186.66357421875,53.127201080322266,453.7200012207031,9.230304718017578,24.78293800354004,79.56591033935547,268.1778564453125,149.49990844726562,36.29945373535156
2020-06-22,87.11273193359375,135.6909942626953,113.16622924804688,72.74796295166016,114.01921844482422,72.0361557006836,179.4618682861328,219.65345764160156,83.78462982177734,39.004676818847656,237.7543182373047,191.84788513183594,54.18662643432617,468.0400085449219,9.494915962219238,24.553050994873047,80.16349029541016,269.49462890625,149.81163024902344,36.64681625366211
2020-06-23,88.97213745117188,138.2205047607422,113.58004760742188,72.62882995605469,114.67823028564453,72.69758605957031,180.6616668701172,220.6672821044922,84.80650329589844,38.919403076171875,240.75579833984375,193.12957763671875,53.34653854370117,466.260009765625,9.418421745300293,24.300922393798828,79.2021484375,274.0342102050781,150.84481811523438,36.867862701416016
2020-06-24,87.40160369873047,136.72000122070312,109.810546875,69.61058044433594,110.23234558105469,71.14431762695312,174.69781494140625,216.98231506347656,81.97469329833984,38.07518005371094,232.586181640625,189.236572265625,53.00874710083008,457.8500061035156,9.20464038848877,23.870817184448242,77.77313232421875,266.2809143066406,147.4513397216797,35.13105010986328
2020-06-25,88.56192016601562,137.72900390625,112.19459533691406,70.85758972167969,109.53399658203125,71.56143188476562,182.7084503173828,216.3211212158203,84.83248901367188,38.3139533996582,234.23599243164062,191.6278533935547,52.45819854736328,465.9100036621094,9.458291053771973,23.96721839904785,79.21946716308594,272.7635192871094,148.76065063476562,35.65998077392578
2020-06-26,85.84076690673828,134.64349365234375,110.10743713378906,68.67332458496094,107.31104278564453,67.66033935546875,166.90780639648438,212.4686279296875,80.18209838867188,37.15420913696289,214.756103515625,187.792236328125,51.813323974609375,443.3999938964844,9.124407768249512,23.759584426879883,77.79912567138672,264.1631164550781,144.85948181152344,34.43632507324219
2020-06-29,87.81912994384766,134.0189971923828,112.68040466308594,69.63439178466797,109.69136810302734,69.3799819946289,170.68370056152344,216.97349548339844,80.53715515136719,37.8278923034668,219.2881622314453,189.8105010986328,52.25640106201172,447.239990234375,9.169259071350098,24.20452117919922,78.95965576171875,266.8150329589844,147.4157257080078,34.98895263671875
2020-06-30,88.55220031738281,137.9409942626953,113.80496215820312,70.87346649169922,109.68153381347656,70.41683197021484,174.34494018554688,220.8435821533203,81.4551010131836,38.10076904296875,225.6787567138672,194.66000366210938,52.67973327636719,455.0400085449219,9.466012954711914,24.249011993408203,80.83035278320312,271.59405517578125,150.5865020751953,35.304725646972656
2020-07-01,88.38469696044922,143.93499755859375,113.40910339355469,69.59468841552734,111.15694427490234,71.60610961914062,174.30084228515625,218.76309204101562,80.76233673095703,38.22014617919922,236.0945587158203,195.79824829101562,54.01553726196289,485.6400146484375,9.498154640197754,25.02023696899414,82.40662384033203,274.1539611816406,148.63595581054688,34.50736999511719
2020-07-02,88.38469696044922,144.51499938964844,114.90254211425781,70.14274597167969,110.34054565429688,72.99305725097656,174.1508331298828,219.07156372070312,81.02465057373047,38.27130889892578,231.98985290527344,197.29042053222656,54.04623794555664,476.8900146484375,9.580134391784668,25.591236114501953,82.75303649902344,274.6419677734375,150.59544372558594,34.799468994140625
2020-07-06,90.74900817871094,152.8520050048828,116.44092559814453,70.34925079345703,112.55365753173828,74.4688720703125,182.9378204345703,219.9972686767578,83.07081604003906,38.56977462768555,238.80784606933594,201.53732299804688,54.16908264160156,493.80999755859375,9.806370735168457,25.591236114501953,82.76170349121094,278.83172607421875,153.3386993408203,35.0442008972168
2020-07-07,90.46743774414062,150.00599670410156,114.43472290039062,68.55418395996094,111.76676177978516,73.9857177734375,175.87998962402344,218.05783081054688,80.72734069824219,38.55271530151367,239.38426208496094,199.1938934326172,54.11643600463867,493.1600036621094,9.838761329650879,25.23529052734375,82.12947845458984,273.1594543457031,151.21885681152344,34.136329650878906
2020-07-08,92.57442474365234,154.0554962158203,115.2713623046875,68.58594512939453,114.7470932006836,74.66502380371094,178.42962646484375,219.66229248046875,81.58428955078125,38.433345794677734,242.0876007080078,203.57470703125,55.55313491821289,502.7799987792969,10.18186092376709,25.02765464782715,82.93492126464844,274.73406982421875,150.55975341796875,34.0573844909668
2020-07-09,92.97254943847656,159.13150024414062,113.11224365234375,65.7186050415039,114.89461517333984,75.41287231445312,173.6479949951172,218.59556579589844,79.81793975830078,37.44415283203125,243.00198364257812,204.99996948242188,55.272369384765625,507.760009765625,10.473884582519531,24.812599182128906,83.63642883300781,268.104248046875,147.84324645996094,32.652137756347656
2020-07-10,93.13518524169922,160.0,115.16341400146484,67.69636535644531,117.38313293457031,76.42340087890625,181.3498077392578,220.49098205566406,84.18133544921875,38.501556396484375,243.56846618652344,204.378173828125,56.94157409667969,548.72998046875,10.444232940673828,25.086977005004883,82.12079620361328,268.1686096191406,148.1995086669922,33.6705436706543
2020-07-13,92.70552062988281,155.1999969482422,117.46652221679688,67.8313980102539,114.31430053710938,75.09358215332031,184.27879333496094,220.05897521972656,85.38806915283203,38.586830139160156,237.53564453125,198.065185546875,56.2045783996582,525.5,10.018659591674805,26.110326766967773,81.03821563720703,275.9771423339844,150.67556762695312,33.67844009399414
2020-07-14,94.23963165283203,154.1999969482422,123.14326477050781,70.17449951171875,116.71429443359375,75.5221176147461,188.80459594726562,227.26145935058594,85.87773895263672,39.11553192138672,238.26119995117188,199.28955078125,57.5886344909668,524.8800048828125,10.342325210571289,26.12516212463379,80.87367248535156,284.089599609375,153.0982208251953,34.79157638549805
2020-07-15,94.88777160644531,150.44349670410156,124.47473907470703,70.60340118408203,118.91756439208984,75.3244857788086,191.3542022705078,227.27027893066406,87.20686340332031,39.5674934387207,238.80784606933594,198.9929656982422,56.80997085571289,523.260009765625,10.193074226379395,26.488523483276367,81.1854476928711,279.991943359375,155.32492065429688,35.233680725097656
2020-07-16,93.72016906738281,149.9949951171875,124.65467071533203,70.18245697021484,117.47166442871094,75.22714233398438,189.3868408203125,227.51708984375,87.45171356201172,39.354305267333984,239.45384216308594,195.0522003173828,58.86742401123047,527.3900146484375,10.100884437561035,26.399534225463867,79.76510620117188,282.8280029296875,157.5337677001953,34.95736312866211
2020-07-17,93.53083038330078,148.09849548339844,124.0836410522461,69.25314331054688,116.70445251464844,75.32299041748047,186.51080322265625,229.54476928710938,85.8340072631836,39.92564392089844,240.54710388183594,194.0574188232422,60.40282440185547,492.989990234375,10.167409896850586,26.881547927856445,82.5711669921875,282.2571105957031,161.43495178222656,34.35737609863281
2020-07-20,95.50189971923828,159.8419952392578,122.02617645263672,67.72813415527344,115.85855865478516,77.65640258789062,186.77545166015625,229.35964965820312,85.0820083618164,39.32871627807617,243.91632080078125,202.39820861816406,60.172508239746094,502.4100036621094,10.475626945495605,27.06694221496582,82.0428695678711,279.43017578125,157.9969482421875,33.5521240234375
2020-07-21,94.1838150024414,156.9145050048828,123.15005493164062,72.589111328125,116.6749496459961,77.26310729980469,187.04901123046875,231.34317016601562,86.92706298828125,40.249698638916016,240.268798828125,199.67218017578125,60.61118698120117,490.1000061035156,10.293986320495605,27.207836151123047,84.81427764892578,280.9494934082031,159.12811279296875,35.24946594238281
2020-07-22,94.44840240478516,154.99549865722656,124.15615844726562,72.3111343383789,117.0782241821289,77.70655059814453,181.73794555664062,233.7675018310547,86.29747772216797,41.34120178222656,238.4003448486328,202.54164123535156,61.50831985473633,489.82000732421875,10.403870582580566,28.59455680847168,85.20401000976562,282.4228820800781,159.76939392089844,34.42842483520508
2020-07-23,90.14944458007812,149.32749938964844,123.81172943115234,72.28726959228516,116.18315124511719,75.31802368164062,179.10897827148438,232.56854248046875,86.5510482788086,41.170658111572266,231.1748809814453,193.73220825195312,61.62895965576172,477.5799865722656,10.095901489257812,28.483320236206055,85.65438842773438,278.97906494140625,155.8682098388672,34.499481201171875
2020-07-24,89.92610931396484,150.44549560546875,124.70000457763672,71.58831024169922,115.68151092529297,74.89395141601562,177.7415313720703,233.8909454345703,85.9389419555664,41.3497314453125,229.29644775390625,192.54611206054688,61.471012115478516,480.45001220703125,10.160436630249023,27.927146911621094,86.52909088134766,276.9716796875,156.8657989501953,34.28631591796875
2020-07-27,92.05738067626953,152.760498046875,126.7937240600586,72.3111343383789,114.4028091430664,75.94766998291016,179.10897827148438,235.75106811523438,84.73224639892578,41.34120178222656,232.06936645507812,194.9852294921875,60.89635467529297,495.6499938964844,10.386674880981445,27.838163375854492,88.13134765625,274.95501708984375,157.48927307128906,34.79157638549805
2020-07-28,90.54512023925781,150.01649475097656,125.10784149169922,70.77815246582031,114.27495574951172,74.66752624511719,177.87384033203125,233.86447143554688,85.0994873046875,41.08538055419922,228.71006774902344,193.23483276367188,61.42496871948242,488.510009765625,10.181363105773926,28.935680389404297,88.80687713623047,276.1797180175781,155.34271240234375,34.38105773925781
2020-07-29,92.28071594238281,151.67649841308594,127.3738021850586,71.54067993164062,113.71430206298828,75.6537094116211,178.72079467773438,233.3179168701172,87.16313171386719,40.94894790649414,231.86062622070312,195.18609619140625,61.7320556640625,484.4800109863281,10.43052864074707,29.1136474609375,91.9507064819336,282.3952941894531,158.52243041992188,34.76000213623047
